Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb)
563.5945,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0455258,0.0213966,-1.17549e-38,0.107009,-1.17549e-38,0.0404649,-1.17549e-38,0.0131445
564.0766,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0627049,0.0111724,-1.17549e-38,0.0894199,-1.17549e-38,0.0389866,-1.17549e-38,0.00562136
564.5587,-1.17549e-38,0.00146641,0.00646663,0.064167,0.0058624,-1.17549e-38,0.0500817,-1.17549e-38,0.0471904,-1.17549e-38,-1.17549e-38
565.0408,-1.17549e-38,0.0174732,0.0234199,0.0510037,0.00205452,-1.17549e-38,-1.17549e-38,0.00134361,0.0553029,-1.17549e-38,-1.17549e-38
565.5229,0.0174913,0.0313138,0.0397979,0.0299729,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0253565,0.0512296,0.0260252,-1.17549e-38
566.0051,0.0663912,0.0389052,0.0490407,0.00905291,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0596939,0.0295616,0.0803856,-1.17549e-38
566.4872,0.111038,0.0375664,0.0458412,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0958529,-1.17549e-38,0.113188,0.000874769
566.9693,0.143913,0.0270213,0.0292495,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.121339,-1.17549e-38,0.116717,0.019588
567.4514,0.161594,0.00994998,0.00367071,-1.17549e-38,0.0101227,0.00893675,-1.17549e-38,0.125996,-1.17549e-38,0.0921172,0.0344655
567.9335,0.16492,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0322174,0.0176166,-1.17549e-38,0.10808,-1.17549e-38,0.0478256,0.0393959
568.4156,0.15734,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0533253,0.0236538,0.00368401,0.0758367,-1.17549e-38,-1.17549e-38,0.0334414
568.8978,0.142713,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0655705,0.0258711,0.013849,0.0431911,-1.17549e-38,-1.17549e-38,0.0208529
569.3799,0.123984,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.064707,0.0238704,0.0168874,0.0220986,-1.17549e-38,-1.17549e-38,0.00787643
569.862,0.103165,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0518841,0.0184192,0.0157706,0.0163291,0.00853213,-1.17549e-38,-1.17549e-38
570.3441,0.0819486,0.000768748,0.00288311,-1.17549e-38,0.0321865,0.011374,0.0118988,0.0205341,0.0308323,-1.17549e-38,-1.17549e-38
570.8262,0.0620067,0.00671841,0.0249289,-1.17549e-38,0.0113516,0.00505459,0.00575052,0.0248854,0.0584557,-1.17549e-38,-1.17549e-38
571.3083,0.0446807,0.00466647,0.0405543,-1.17549e-38,-1.17549e-38,0.00129291,-1.17549e-38,0.0218544,0.0890081,0.0239516,-1.17549e-38
571.7905,0.0305961,-1.17549e-38,0.0476192,-1.17549e-38,-1.17549e-38,0.000596183,-1.17549e-38,0.0106699,0.116874,0.0646762,-1.17549e-38
572.2726,0.0198452,-1.17549e-38,0.0464013,-1.17549e-38,-1.17549e-38,0.00187027,-1.17549e-38,-1.17549e-38,0.136179,0.0892518,-1.17549e-38
572.7547,0.0127613,-1.17549e-38,0.0385208,-1.17549e-38,-1.17549e-38,0.00294776,-1.17549e-38,-1.17549e-38,0.14332,0.0937849,-1.17549e-38
573.2368,0.0105368,-1.17549e-38,0.025813,-1.17549e-38,-1.17549e-38,0.0017394,-1.17549e-38,-1.17549e-38,0.13747,0.0811319,-1.17549e-38
573.7189,0.0148117,-1.17549e-38,0.00997293,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00160828,0.119497,0.0578533,-1.17549e-38
574.201,0.0260898,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0187987,-1.17549e-38,-1.17549e-38,0.0173112,0.0910041,0.0299586,-1.17549e-38
