Wavenumber (cm-1),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
545.274,0.0343778,-1.17549e-38,-1.17549e-38,0.00833312,0.0564826,-1.17549e-38,-1.17549e-38,0.117721,0.0116015,0.0386367,-1.17549e-38,0.0716111,0.128779,-1.17549e-38
545.7562,0.0334151,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0427769,-1.17549e-38,-1.17549e-38,0.111119,0.000400189,0.0459442,-1.17549e-38,0.117651,0.13233,-1.17549e-38
546.2383,0.0246804,-1.17549e-38,0.000865585,-1.17549e-38,0.0179437,0.0405123,-1.17549e-38,0.0761473,-1.17549e-38,0.0413276,0.0109205,0.142242,0.132181,0.00694704
546.7204,0.00499347,-1.17549e-38,0.00622505,-1.17549e-38,-1.17549e-38,0.0979521,-1.17549e-38,0.0191257,-1.17549e-38,0.0273098,0.0448435,0.139728,0.123377,0.0149352
547.2025,-1.17549e-38,-1.17549e-38,0.0165455,-1.17549e-38,-1.17549e-38,0.135637,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00932968,0.0617984,0.112162,0.102253,0.0211096
547.6846,-1.17549e-38,0.0135516,0.0332839,-1.17549e-38,-1.17549e-38,0.141259,-1.17549e-38,-1.17549e-38,0.00107222,-1.17549e-38,0.0596167,0.0705877,0.0686453,0.0244557
548.1667,-1.17549e-38,0.031708,0.0519889,0.020185,-1.17549e-38,0.113366,0.0170264,-1.17549e-38,0.0149276,-1.17549e-38,0.0458382,0.0323123,0.0269458,0.0251282
548.6489,-1.17549e-38,0.0384238,0.0651277,0.0602832,-1.17549e-38,0.063405,0.0304646,-1.17549e-38,0.0264491,-1.17549e-38,0.0319508,0.0139686,-1.17549e-38,0.0245618
549.131,-1.17549e-38,0.0401573,0.0674835,0.0920913,-1.17549e-38,0.0114388,0.0261906,-1.17549e-38,0.0327257,-1.17549e-38,0.0255895,0.0229111,-1.17549e-38,0.0248923
549.6131,-1.17549e-38,0.0466777,0.059978,0.105451,0.0124116,-1.17549e-38,0.0106058,0.0116122,0.0348581,-1.17549e-38,0.0261875,0.0517055,-1.17549e-38,0.0277446
550.0952,-1.17549e-38,0.0623975,0.0490742,0.0950381,0.022735,-1.17549e-38,-1.17549e-38,0.0316547,0.0364485,-1.17549e-38,0.0270786,0.0802278,-1.17549e-38,0.0329067
550.5773,0.00067603,0.0816435,0.0421367,0.0622752,0.0322442,-1.17549e-38,-1.17549e-38,0.0278805,0.0401775,-1.17549e-38,0.0222539,0.0859621,-1.17549e-38,0.0377787
551.0594,0.00131051,0.0914624,0.0422225,0.0151774,0.039944,0.0349253,-1.17549e-38,0.0065215,0.0452575,0.00219083,0.0122223,0.0571773,-1.17549e-38,0.038259
551.5416,0.00132718,0.0796341,0.046291,-1.17549e-38,0.0410285,0.0774838,-1.17549e-38,-1.17549e-38,0.0477936,0.0153086,0.00415212,0.000698975,0.0225646,0.0308363
552.0237,0.00509638,0.0420142,0.0481153,-1.17549e-38,0.0297775,0.11233,-1.17549e-38,-1.17549e-38,0.0436377,0.0205449,0.00640821,-1.17549e-38,0.0335738,0.0147558
552.5058,0.0140143,-1.17549e-38,0.043543,-1.17549e-38,0.00412752,0.134201,-1.17549e-38,-1.17549e-38,0.0314633,0.0168748,0.0222084,-1.17549e-38,0.0328322,-1.17549e-38
552.9879,0.0262316,-1.17549e-38,0.0340975,-1.17549e-38,-1.17549e-38,0.14177,-1.17549e-38,-1.17549e-38,0.0139485,0.0080148,0.0474352,-1.17549e-38,0.0265903,-1.17549e-38
553.47,0.0384087,-1.17549e-38,0.0261835,-1.17549e-38,-1.17549e-38,0.134916,0.0108109,-1.17549e-38,-1.17549e-38,0.000287121,0.0738983,-1.17549e-38,0.0229506,-1.17549e-38
