Wavenumber (cm-1),Int deg-26 (arb),Int deg-24 (arb),Int deg-22 (arb),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb)
546.7204,0.101929,0.121084,0.0394936,0.0475541,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.109848,0.0489083,-1.17549e-38,-1.17549e-38,-1.17549e-38
547.2025,0.085596,0.116442,0.0102621,0.0362567,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0512721,0.0437652,-1.17549e-38,-1.17549e-38,-1.17549e-38
547.6846,0.0709791,0.100018,-1.17549e-38,0.0439675,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00367282,-1.17549e-38,0.0390658,-1.17549e-38,-1.17549e-38,0.0295103
548.1667,0.0594223,0.0794818,-1.17549e-38,0.0623337,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0234885,-1.17549e-38,0.0327013,-1.17549e-38,0.0261856,0.0717179
548.6489,0.0518081,0.0632105,-1.17549e-38,0.0762534,-1.17549e-38,0.00887311,-1.17549e-38,0.0381345,-1.17549e-38,0.0197928,-1.17549e-38,0.0594289,0.0890956
549.131,0.0473106,0.0562848,0.00270891,0.0742976,-1.17549e-38,0.0155139,-1.17549e-38,0.0482236,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0800964,0.0798263
549.6131,0.0426893,0.0580706,0.0335742,0.0560632,-1.17549e-38,0.0122691,-1.17549e-38,0.0566583,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0862121,0.0528484
550.0952,0.0333778,0.0628371,0.0649333,0.0318208,-1.17549e-38,0.00061146,-1.17549e-38,0.0651169,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0791753,0.0228762
550.5773,0.0160386,0.0634424,0.0913313,0.0149845,-1.17549e-38,-1.17549e-38,0.00289565,0.0716614,0.00504317,-1.17549e-38,-1.17549e-38,0.0623588,0.0031488
551.0594,-1.17549e-38,0.0560106,0.109744,0.013012,0.00179949,-1.17549e-38,0.0209094,0.072101,0.0437749,-1.17549e-38,-1.17549e-38,0.0401211,-1.17549e-38
551.5416,-1.17549e-38,0.0424742,0.118438,0.0232133,0.025184,-1.17549e-38,0.0381183,0.0640841,0.0677112,-1.17549e-38,-1.17549e-38,0.0173995,0.0100801
552.0237,-1.17549e-38,0.0292252,0.116563,0.0356301,0.0443323,-1.17549e-38,0.0488615,0.0500697,0.0785548,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.025911
552.5058,-1.17549e-38,0.0228556,0.105089,0.0398678,0.0547122,-1.17549e-38,0.0495118,0.036254,0.0795344,-1.17549e-38,0.00128766,-1.17549e-38,0.0378475
552.9879,-1.17549e-38,0.0258115,0.087852,0.030934,0.0543633,-1.17549e-38,0.0397749,0.0281153,0.0724291,-1.17549e-38,0.0098305,-1.17549e-38,0.0396362
553.47,-1.17549e-38,0.0346665,0.0710613,0.0109497,0.0454805,0.0191768,0.022697,0.0261431,0.0582976,-1.17549e-38,0.0211906,0.00236584,0.0303813
553.9521,-1.17549e-38,0.0420036,0.0608398,-1.17549e-38,0.033357,0.049648,0.00360492,0.0253083,0.0402405,0.0434682,0.0329404,0.0170298,0.0143901
554.4343,0.036923,0.0405912,0.060198,-1.17549e-38,0.023065,0.068861,-1.17549e-38,0.0189024,0.0245415,0.100199,0.0417033,0.0292719,-1.17549e-38
554.9164,0.0780856,0.0270882,0.0675469,-1.17549e-38,0.0162554,0.0706833,-1.17549e-38,0.00374474,0.0180674,0.1406,0.0450191,0.0342715,-1.17549e-38
555.3985,0.105592,0.00312332,0.0777904,-1.17549e-38,0.0105316,0.0558842,-1.17549e-38,-1.17549e-38,0.0235989,0.153144,0.0422922,0.0308654,-1.17549e-38
555.8806,0.115025,-1.17549e-38,0.0851542,-1.17549e-38,0.00172782,0.0317291,-1.17549e-38,-1.17549e-38,0.037186,0.136929,0.0345173,0.0214709,0.00554495
556.3627,0.108168,-1.17549e-38,0.0859393,-1.17549e-38,-1.17549e-38,0.00850933,0.0157809,-1.17549e-38,0.0502229,0.101114,0.0234564,0.0101056,0.0224217
556.8448,0.0914334,-1.17549e-38,0.0799042,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0286118,-1.17549e-38,0.0550598,0.058708,0.0110579,-1.17549e-38,0.0375478
557.327,0.0724499,-1.17549e-38,0.0700506,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0308508,-1.17549e-38,0.0500936,0.0196305,-1.17549e-38,-1.17549e-38,0.0456518
557.8091,0.0567098,-1.17549e-38,0.0612081,-1.17549e-38,-1.17549e-38,0.007015,0.0196094,-1.17549e-38,0.0406511,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0445683
558.2912,0.0460226,-1.17549e-38,0.0578988,-1.17549e-38,-1.17549e-38,0.0247141,-1.17549e-38,-1.17549e-38,0.0351368,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0357864
558.7733,0.0393495,-1.17549e-38,0.0620512,-1.17549e-38,-1.17549e-38,0.0409616,-1.17549e-38,-1.17549e-38,0.0393263,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0234487
559.2554,0.0350859,0.0233231,0.0714646,-1.17549e-38,-1.17549e-38,0.0497389,-1.17549e-38,0.0032655,0.0527529,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0123147
559.7375,0.0330332,0.0588036,0.0800789,-1.17549e-38,-1.17549e-38,0.0474951,-1.17549e-38,0.00955195,0.0692706,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00568777
560.2197,0.0346908,0.0800796,0.0805025,-1.17549e-38,-1.17549e-38,0.0332575,-1.17549e-38,0.00972715,0.0808806,-1.17549e-38,0.0055944,-1.17549e-38,0.00430423
560.7018,0.041767,0.0847399,0.0678865,-1.17549e-38,0.0164336,0.0084387,-1.17549e-38,0.00611462,0.0820775,0.0376132,0.0103888,-1.17549e-38,0.00662994
561.1839,0.0540833,0.0772154,0.0429848,-1.17549e-38,0.0406631,-1.17549e-38,-1.17549e-38,0.00304203,0.0721891,0.0930715,0.0114358,-1.17549e-38,0.0101595
561.666,0.0684853,0.0661846,0.0123044,0.00570376,0.0533339,-1.17549e-38,-1.17549e-38,0.00390334,0.0548127,0.141843,0.00907521,-1.17549e-38,0.0127176
562.1481,0.0797001,0.0599535,-1.17549e-38,0.0100997,0.0563797,-1.17549e-38,-1.17549e-38,0.00844651,0.0352246,0.171187,0.00473106,-1.17549e-38,0.0129268
562.6302,0.0827587,0.0623975,-1.17549e-38,0.00695903,0.0561772,-1.17549e-38,-1.17549e-38,0.0127366,0.0175727,0.172693,-1.17549e-38,-1.17549e-38,0.0098599
563.1124,0.0755233,0.0715071,-1.17549e-38,-1.17549e-38,0.0594121,-1.17549e-38,-1.17549e-38,0.012265,0.00349262,0.145011,-1.17549e-38,-1.17549e-38,0.00269521
