Wavenumber (cm-1),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
531.2927,0.0332941,-1.17549e-38,0.0496287,-1.17549e-38,0.0211615,-1.17549e-38,0.0377085,-1.17549e-38,0.0205127,0.140034,0.0666685,0.155904,0.120978,0.019853,0.0359108,0.0669698,-1.17549e-38,-1.17549e-38,0.0238724
531.7748,0.0274435,0.00585393,0.0479376,0.00125676,0.00646859,-1.17549e-38,0.0605887,-1.17549e-38,0.0214828,0.142269,0.10116,0.17645,0.123307,0.042196,0.0541872,0.0693123,-1.17549e-38,-1.17549e-38,0.0122013
532.2569,0.0235674,0.0541517,0.0320474,0.0127004,0.016538,-1.17549e-38,0.0729446,-1.17549e-38,0.014096,0.113961,0.124825,0.171995,0.099864,0.0584488,0.0640915,0.0572889,-1.17549e-38,-1.17549e-38,-1.17549e-38
532.739,0.0182893,0.0723247,0.00853625,0.0207689,0.0372625,-1.17549e-38,0.0742265,-1.17549e-38,0.00336331,0.0768121,0.131821,0.151177,0.0553954,0.0615509,0.0584247,0.0360291,0.0128271,-1.17549e-38,-1.17549e-38
533.2211,0.00608488,0.0582993,-1.17549e-38,0.0155664,0.0498391,-1.17549e-38,0.0696608,-1.17549e-38,-1.17549e-38,0.0545977,0.120999,0.124776,0.00530811,0.0493164,0.0366052,0.012897,0.0232376,-1.17549e-38,-1.17549e-38
533.7032,-1.17549e-38,0.0245736,-1.17549e-38,-1.17549e-38,0.0415251,-1.17549e-38,0.0669631,-1.17549e-38,-1.17549e-38,0.0598717,0.0963984,0.10062,-1.17549e-38,0.0241501,0.00682447,-1.17549e-38,0.0263763,-1.17549e-38,-1.17549e-38
534.1854,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0123868,-1.17549e-38,0.0720898,-1.17549e-38,-1.17549e-38,0.0876361,0.0659565,0.0806995,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0243801,0.00293014,-1.17549e-38
534.6675,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0857766,-1.17549e-38,0.00285628,0.119782,0.0385018,0.0617066,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0200276,0.0334792,0.0242404
535.1496,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.102526,-1.17549e-38,0.00578518,0.137075,0.0198902,0.0386789,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0150275,0.0689923,0.0693445
535.6317,-1.17549e-38,0.00528738,0.0152665,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.112895,-1.17549e-38,0.00516941,0.130636,0.0101282,0.00973734,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00964453,0.111819,0.100726
536.1138,-1.17549e-38,0.0294712,0.0324146,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.108278,-1.17549e-38,0.00342794,0.105618,0.0034984,-1.17549e-38,-1.17549e-38,0.029857,-1.17549e-38,-1.17549e-38,0.00358464,0.159512,0.11184
536.5959,-1.17549e-38,0.0435673,0.0437122,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0856203,-1.17549e-38,0.00447763,0.0754133,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0979296,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.203496,0.103194
537.0781,-1.17549e-38,0.0451638,0.0467953,-1.17549e-38,0.00431752,-1.17549e-38,0.0491269,-1.17549e-38,0.0107638,0.0513812,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.167802,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.232275,0.0798571
537.5602,-1.17549e-38,0.0404157,0.0406607,0.00999514,0.0219742,-1.17549e-38,0.00780583,-1.17549e-38,0.021526,0.0359145,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.222755,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.237077,0.0480615
538.0423,-1.17549e-38,0.0375952,0.0259013,0.0316966,0.0257397,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0333051,0.0235141,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.252263,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.216244,0.0130835
538.5244,-1.17549e-38,0.0400975,0.00515759,0.0439578,0.0195314,-1.17549e-38,-1.17549e-38,0.0168447,0.0419261,0.00802204,-1.17549e-38,0.0145618,0.0342208,0.253692,-1.17549e-38,0.0145329,0.00165434,0.175767,-1.17549e-38
539.0065,0.0108694,0.0442226,-1.17549e-38,0.0458188,0.0103673,-1.17549e-38,-1.17549e-38,0.0388352,0.0443752,-1.17549e-38,-1.17549e-38,0.0271651,0.0720509,0.230444,-1.17549e-38,0.020879,0.0123958,0.126026,-1.17549e-38
539.4886,0.0180422,0.0429782,-1.17549e-38,0.0390256,0.00300412,-1.17549e-38,-1.17549e-38,0.0615828,0.0396033,-1.17549e-38,0.00124472,0.019352,0.0844857,0.189625,-1.17549e-38,0.0112471,0.0225755,0.0768969,-1.17549e-38
539.9708,0.0151453,0.0324252,-1.17549e-38,0.027569,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0834817,0.0284391,-1.17549e-38,0.0574492,-1.17549e-38,0.0706502,0.141062,-1.17549e-38,-1.17549e-38,0.0291166,0.0339219,-1.17549e-38
540.4529,0.00305817,0.0153387,-1.17549e-38,0.0159382,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.1032,0.0133207,-1.17549e-38,0.103921,-1.17549e-38,0.0402753,0.0965398,0.0137828,-1.17549e-38,0.0303895,-1.17549e-38,-1.17549e-38
540.935,-1.17549e-38,-1.17549e-38,0.00481062,0.00697326,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.119684,-1.17549e-38,0.0087094,0.124277,-1.17549e-38,0.00822728,0.0669838,0.0236064,-1.17549e-38,0.0267691,-1.17549e-38,-1.17549e-38
541.4171,-1.17549e-38,-1.17549e-38,0.0413122,0.000843824,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.131957,-1.17549e-38,0.0225315,0.111578,-1.17549e-38,-1.17549e-38,0.0575329,0.0364794,-1.17549e-38,0.0202434,-1.17549e-38,-1.17549e-38
541.8992,-1.17549e-38,-1.17549e-38,0.0765776,-1.17549e-38,-1.17549e-38,0.0250081,-1.17549e-38,0.139006,-1.17549e-38,0.0187277,0.0715792,-1.17549e-38,-1.17549e-38,0.0638251,0.0548596,0.00413718,0.0133318,-1.17549e-38,-1.17549e-38
542.3813,-1.17549e-38,0.00278308,0.102023,-1.17549e-38,-1.17549e-38,0.0413317,0.0180051,0.140037,-1.17549e-38,-1.17549e-38,0.0204442,0.0225959,-1.17549e-38,0.0734695,0.0748532,0.0236563,0.00794099,-1.17549e-38,-1.17549e-38
542.8635,-1.17549e-38,0.0138164,0.113517,-1.17549e-38,-1.17549e-38,0.0307301,0.0359825,0.135234,0.00980589,-1.17549e-38,-1.17549e-38,0.0484576,0.0202744,0.0730774,0.0898743,0.0225558,0.00477559,-1.17549e-38,-1.17549e-38
543.3456,-1.17549e-38,0.0248196,0.112014,-1.17549e-38,-1.17549e-38,0.0027989,0.0431578,0.126637,0.0272998,-1.17549e-38,-1.17549e-38,0.0545197,0.0387871,0.056378,0.0953776,-1.17549e-38,0.00352526,-1.17549e-38,-1.17549e-38
