Wavenumber (cm-1),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb)
4691.96,1.90782,3.69974,6.14353,9.10466,11.3585,13.775,15.565,16.5109,17.1678,17.4574,17.6636,18.3533,17.9027,16.9218,15.3457,12.746,10.2015,7.55832,4.49378,2.67505,1.48314
4692.4419,1.92916,3.74098,6.20438,9.18799,11.4341,13.8248,15.584,16.4763,17.0979,17.3408,17.5285,18.3195,17.8954,16.9482,15.4229,12.837,10.2814,7.64002,4.55211,2.71718,1.49144
4692.9243,1.95305,3.78529,6.26144,9.27119,11.5146,13.8774,15.6041,16.4391,17.0258,17.2196,17.3883,18.2784,17.881,16.9737,15.4946,12.93,10.365,7.72202,4.60858,2.75603,1.49609
4693.4063,1.97784,3.82961,6.31494,9.35293,11.5972,13.9318,15.6217,16.3986,16.9472,17.0956,17.2433,18.2286,17.8603,16.9989,15.5566,13.0209,10.454,7.80322,4.66259,2.79067,1.50133
4693.8887,2.00046,3.87324,6.36627,9.43271,11.6771,13.9857,15.6333,16.3521,16.858,16.9701,17.0939,18.1695,17.8341,17.0241,15.6082,13.1059,10.5463,7.88182,4.71432,2.82122,1.51092
4694.3706,2.01819,3.91801,6.41747,9.51056,11.7495,14.0365,15.6367,16.2972,16.757,16.843,16.9405,18.1015,17.8032,17.0491,15.6522,13.1829,10.6378,7.95661,4.76476,2.84889,1.52652
4694.8525,2.03062,3.96629,6.47073,9.58654,11.812,14.0826,15.632,16.2338,16.6463,16.7134,16.7834,18.0263,17.7687,17.0734,15.6933,13.2538,10.7254,8.02839,4.81556,2.87561,1.54727
4695.335,2.04036,4.01849,6.52794,9.66018,11.8656,14.1238,15.6205,16.1646,16.531,16.58,16.6224,17.9463,17.7316,17.0957,15.7362,13.3234,10.8088,8.10042,4.86859,2.90355,1.57037
4695.8169,2.0521,4.07211,6.59029,9.73052,11.9142,14.1612,15.6049,16.0941,16.4162,16.442,16.4567,17.8642,17.6925,17.1149,15.7829,13.3965,10.8906,8.17748,4.92539,2.93444,1.59228
4696.2988,2.07037,4.12305,6.65789,9.79676,11.9633,14.1968,15.588,16.0256,16.3048,16.2996,16.2859,17.7823,17.6513,17.1302,15.833,13.4762,10.9748,8.26373,4.9865,2.96906,1.61004
4696.7813,2.09734,4.16833,6.72938,9.85905,12.0173,14.2318,15.5718,15.9603,16.1961,16.1535,16.1102,17.7018,17.6071,17.1418,15.8843,13.5622,11.0641,8.36044,5.05096,3.00698,1.62226
4697.2632,2.13161,4.20799,6.80204,9.9189,12.078,14.2664,15.557,15.8969,16.0864,16.0041,15.9307,17.622,17.5588,17.1505,15.9342,13.6516,11.1582,8.46498,5.11638,3.04679,1.62982
4697.7456,2.16891,4.24503,6.87266,9.97879,12.1448,14.299,15.5422,15.8328,15.9711,15.8508,15.7493,17.5411,17.5053,17.1569,15.9807,13.7405,11.2545,8.57173,5.17991,3.0867,1.63579
4698.2275,2.20388,4.28334,6.93902,10.0412,12.2148,14.3272,15.5248,15.7659,15.8477,15.6926,15.5671,17.4565,17.4465,17.1606,16.0232,13.826,11.3502,8.67453,5.23964,3.12535,1.6445
4698.7095,2.23236,4.32541,7.00101,10.1072,12.2849,14.3491,15.5023,15.6954,15.7166,15.5285,15.3843,17.3663,17.3835,17.1601,16.0625,13.9074,11.444,8.7693,5.29567,3.16235,1.65978
4699.1919,2.25291,4.37113,7.06082,10.1765,12.3526,14.3645,15.4732,15.6214,15.5814,15.3587,15.1997,17.2703,17.318,17.1544,16.1005,13.9855,11.5365,8.85548,5.35022,3.19837,1.6832
4699.6738,2.26723,4.41859,7.12176,10.2469,12.4172,14.3751,15.438,15.5436,15.4455,15.1841,15.0116,17.1693,17.2514,17.1425,16.1388,14.0618,11.6293,8.93555,5.40653,3.23455,1.7132
4700.1558,2.27946,4.46595,7.1865,10.316,12.4794,14.3839,15.3986,15.4612,15.3102,15.0066,14.8189,17.0639,17.1831,17.1246,16.1785,14.1368,11.7227,9.01318,5.46721,3.27184,1.74581
4700.6382,2.29468,4.51286,7.25571,10.3818,12.5405,14.3942,15.3567,15.3731,15.1739,14.8279,14.6209,16.9534,17.111,17.1006,16.2185,14.209,11.8149,9.09128,5.53319,3.31054,1.77667
4701.1201,2.31713,4.56056,7.32813,10.4442,12.601,14.4085,15.313,15.2793,15.0331,14.6495,14.4182,16.836,17.0318,17.0703,16.2565,14.2763,11.9032,9.1711,5.60372,3.35041,1.8031
4701.6025,2.34861,4.61076,7.40157,10.5049,12.6603,14.4274,15.2672,15.1815,14.8859,14.4727,14.2118,16.7097,16.9436,17.0338,16.2892,14.3367,11.9855,9.25255,5.67716,3.39107,1.82494
4702.0845,2.38773,4.66417,7.47434,10.5666,12.7162,14.4496,15.2186,15.0827,14.7332,14.2981,14.0031,16.5748,16.847,16.9924,16.3139,14.3904,12.0622,9.33531,5.75194,3.43228,1.84386
4702.5664,2.43036,4.71987,7.54578,10.6319,12.7665,14.4719,15.1674,14.9854,14.5787,14.1252,13.7931,16.4338,16.7453,16.9482,16.3293,14.4396,12.1359,9.4196,5.82688,3.47387,1.86162
4703.0488,2.47126,4.77587,7.61598,10.7012,12.8096,14.4904,15.1145,14.89,14.4257,13.9517,13.5819,16.2907,16.6426,16.9033,16.3363,14.4878,12.2104,9.50617,5.90094,3.51542,1.87888
4703.5308,2.50616,4.83038,7.68489,10.7724,12.8456,14.5016,15.0613,14.7944,14.2756,13.7742,13.3692,16.1485,16.5409,16.8583,16.3374,14.5377,12.2881,9.59548,5.97297,3.55626,1.8954
